,Zona Postal,Abrangência,Região,Faixa de CEP
0,0xxxx,Região Metropolitana de São Paulo (SP),São Paulo,01000 - 05999 08000 - 08499
1,0xxxx,Região Metropolitana de São Paulo (SP),SP Região Metropolitana de São Paulo,06000 - 07999 08500 - 09999
2,1xxxx,Litoral e interior de SP,SP Litoral,11000 - 11999
3,1xxxx,Litoral e interior de SP,SP Interior,12000 - 19999
4,2xxxx,Rio de Janeiro (RJ),Rio de Janeiro,20000 - 23799
5,2xxxx,Rio de Janeiro (RJ),RJ Região Metropolitana do Rio de Janeiro,23800 - 26599
6,2xxxx,Rio de Janeiro (RJ),RJ Interior,26600 - 28999
7,2xxxx,Espírito Santo (ES),Vitória,29000 - 29099
8,2xxxx,Espírito Santo (ES),ES Região Metropolitana de Vitória,29100 - 29199
9,2xxxx,Espírito Santo (ES),ES Interior,29200 - 29999
10,3xxxx,Minas Gerais (MG),Belo Horizonte,30000 - 31999
11,3xxxx,Minas Gerais (MG),MG Região Metropolitana de Belo Horizonte,32000 - 34999
12,3xxxx,Minas Gerais (MG),MG Interior,35000 - 39999
13,4xxxx,Bahia (BA),Salvador,40000 - 42599
14,4xxxx,Bahia (BA),BA Região Metropolitana de Salvador,42600 - 43999
15,4xxxx,Bahia (BA),BA Interior,44000 - 48999
16,4xxxx,Sergipe (SE),Aracaju,49000 - 49099
17,4xxxx,Sergipe (SE),SE Interior,49100 - 49999
18,5xxxx,Pernambuco (PE),Recife,50000 - 52999
19,5xxxx,Pernambuco (PE),PE Região Metropolitana do Recife,53000 - 54999
20,5xxxx,Pernambuco (PE),PE Interior,55000 - 56999
21,5xxxx,Alagoas (AL),Maceió,57000 - 57099
22,5xxxx,Alagoas (AL),AL Interior,57100 - 57999
23,5xxxx,Paraiba (PB),João Pessoa,58000 - 58099
24,5xxxx,Paraiba (PB),PB Interior,58100 - 58999
25,5xxxx,Rio Grande do Norte (RN),Natal,59000 - 59139
26,5xxxx,Rio Grande do Norte (RN),RN Interior,59140 - 59999
27,6xxxx,Ceará (CE),Fortaleza,60000 - 61599
28,6xxxx,Ceará (CE),CE Região Metropolitana de Fortaleza,61600 - 61999
29,6xxxx,Ceará (CE),CE Interior,62000 - 63999
30,6xxxx,Piauí (PI),Teresina,64000 - 64099
31,6xxxx,Piauí (PI),PI Interior,64100 - 64999
32,6xxxx,Maranhão (MA),São Luís,65000 - 65099
33,6xxxx,Maranhão (MA),MA Interior,65100 - 65999
34,6xxxx,Pará (PA),Belém,66000 - 66999
35,6xxxx,Pará (PA),PA Região Metropolitana de Belém,67000 - 67999
36,6xxxx,Pará (PA),PA Interior,68000 - 68899
37,6xxxx,Amapá (AP),Macapá,68900 - 68914
38,6xxxx,Amapá (AP),AP Interior,68915 - 68999
39,6xxxx,Amazonas (AM),Manaus,69000 - 69099
40,6xxxx,Amazonas (AM),AM Interior,69100 - 69299 69400 - 69899
41,6xxxx,Roraima (RR),Boa Vista,69300 - 69339
42,6xxxx,Roraima (RR),RR Interior,69340 - 69399
43,6xxxx,Acre (AC),Rio Branco,69900 - 69920
44,6xxxx,Acre (AC),AC Interior,69921 - 69999
45,7xxxx,Distrito Federal (DF),Brasília,70000 - 70999
46,7xxxx,Distrito Federal (DF),DF Cidades-Satélites,71000 - 72799 73000 - 73699
47,7xxxx,Goiás (GO),Goiânia,74000 - 74899
48,7xxxx,Goiás (GO),GO Região Metropolitana de Goiânia,74900 - 75199
49,7xxxx,Goiás (GO),GO Entorno do Distrito Federal,72800 - 72999
50,7xxxx,Goiás (GO),GO Interior,73700 - 73999 75200 - 76799
51,7xxxx,Rondônia (RO),Porto Velho,76800 - 76849
52,7xxxx,Rondônia (RO),RO Interior,76850 - 76999
53,7xxxx,Tocantins (TO),Palmas,77000 - 77299
54,7xxxx,Tocantins (TO),TO Interior,77300 - 77999
55,7xxxx,Mato Grosso (MT),Cuiabá,78000 - 78109
56,7xxxx,Mato Grosso (MT),MT Interior,78110 - 78999
57,7xxxx,Mato Grosso do Sul (MS),Campo Grande,79000 - 79129
58,7xxxx,Mato Grosso do Sul (MS),MS Interior,79130 - 79999
59,8xxxx,Paraná (PR),Curitiba,80000 - 82999
60,8xxxx,Paraná (PR),PR Região Metropolitana de Curitiba,83000 - 83899
61,8xxxx,Paraná (PR),PR Interior,83900 - 87999
62,8xxxx,Santa Catarina (SC),Florianópolis,88000 - 88099
63,8xxxx,Santa Catarina (SC),SC Região Metropolitana de Florianópolis,88100 - 88179
64,8xxxx,Santa Catarina (SC),SC Interior,88180 - 89999
65,9xxxx,Rio Grande do Sul (RS),Porto Alegre,90000 - 91999
66,9xxxx,Rio Grande do Sul (RS),RS Região Metropolitana de Porto Alegre,92000 - 94999
67,9xxxx,Rio Grande do Sul (RS),RS Interior,95000 - 99999
